Slice ID,Slice Type,Slice Bandwidth (Mbps),Latency (ms),Packet Loss Rate (%),Data Rate (Mbps),Traffic Load,Signal Strength,Network Congestion,Transmission Path,Security Mechanism,Attack Type,Security Status,Attack Detection Time (ms),IGJO-SVM Prediction,Adjustment Action,Throughput (Mbps),Energy Efficiency (J/bit),Packet Delivery Ratio (%),End-to-End Delay (ms),Accuracy of Security (%)
103,Ultra-High-Speed,644,20,0.044122390542242255,457,Medium,Strong,Medium,Path A,Encryption,DDoS,Yes,88,0.7845365186848953,Optimize Path,399.94199761556206,0.025628697690184964,90.94986644977313,15,92.3454410074805
436,IoT,648,13,0.02800481951066354,454,Medium,Weak,Medium,Path C,Firewall,Eavesdropping,Yes,38,0.8341115832663251,Increase Security,1796.8727016184314,0.014642138375382757,96.25667180631594,11,97.47765277140032
861,IoT,1759,14,0.058661722156112935,1297,Low,Strong,Low,Path A,Encryption,DDoS,Yes,61,0.9275613488190422,Alert Admin,565.5621615898597,0.015082250614306975,95.69707850569935,25,97.57166625412519
271,Autonomous,784,19,0.17648327368146774,621,Medium,Strong,Medium,Path B,Encryption,DDoS,No,57,0.7428988140984321,Alert Admin,1150.7446318700881,0.03752697746889054,91.0258456033102,23,90.4781106370248
107,Autonomous,1320,13,0.18662266626871155,849,High,Weak,Medium,Path C,Encryption,DDoS,Yes,50,0.8301925630695713,Alert Admin,964.8801622124432,0.039605975747903636,91.58132645719364,16,98.20345015047529
72,IoT,1843,9,0.13912362929936134,1514,Low,Strong,Low,Path B,IDS,Eavesdropping,Yes,22,0.4976879595477721,Alert Admin,1423.8257476363474,0.010811198950696798,94.84342902272124,11,92.21663843087387
701,Ultra-High-Speed,1670,16,0.013201968828048315,1203,Medium,Weak,Medium,Path A,Firewall,Spoofing,Yes,38,0.1847139095698832,Increase Security,1692.7831125636444,0.014009130265715371,95.81508309624071,14,94.5651175672179
21,Autonomous,1964,7,0.1451959819970591,1514,Low,Moderate,Medium,Path A,IDS,Spoofing,No,76,0.8108281133622709,Optimize Path,576.0615522321701,0.04276922307360409,95.60379860136769,18,90.2596101835392
615,Ultra-High-Speed,510,13,0.11387547223645655,248,High,Weak,Low,Path A,Encryption,DDoS,Yes,98,0.5521608269710124,Alert Admin,1454.2280809733804,0.032305695733726346,92.19750300166879,23,92.09428386138931
122,Ultra-High-Speed,656,10,0.004838352778271049,264,Low,Moderate,Low,Path A,Encryption,Spoofing,Yes,88,0.9859226589700176,Alert Admin,1523.7312765379431,0.037135725856236285,99.4679117228162,11,97.68247777646316
